timestamp,C,P,netDelta
2020-09-10 10:55:00,124540.10719999993,-145204.8568999996,-20664.74969999969
2020-09-10 11:00:00,115296.42880000015,-200218.7893000002,-84922.36050000004
2020-09-10 11:05:00,133912.26620000007,-207003.4039000001,-73091.13770000005
2020-09-10 11:10:00,148429.57680000013,-208431.9655,-60002.388699999865
2020-09-10 11:15:00,163339.66949999947,-210038.09340000004,-46698.423900000584
2020-09-10 11:20:00,164632.8709999999,-229283.95100000023,-64651.08000000037
2020-09-10 11:25:00,182622.1019999994,-221620.41560000012,-38998.313600000685
2020-09-10 11:30:00,198777.32079999975,-217975.80399999968,-19198.483199999933
2020-09-10 11:35:00,188862.4920999997,-239486.02939999988,-50623.537300000164
2020-09-10 11:40:00,200248.7023999997,-236328.59290000045,-36079.890500000765
2020-09-10 11:45:00,205061.3206999996,-238158.44380000015,-33097.12310000058
2020-09-10 11:50:00,216263.9635999998,-243012.30129999985,-26748.337700000033
2020-09-10 11:55:00,202430.8401999997,-269934.32540000073,-67503.48520000103
2020-09-10 12:00:00,196311.75800000035,-297994.6487999999,-101682.89079999957
2020-09-10 12:05:00,201841.77189999988,-316116.67399999924,-114274.90209999932
2020-09-10 12:10:00,209474.40799999962,-313096.19439999945,-103621.78639999984
2020-09-10 12:15:00,208773.3662,-321202.89029999875,-112429.52409999877
2020-09-10 12:20:00,217289.83319999985,-327506.21489999874,-110216.38169999892
2020-09-10 12:25:00,207500.47400000005,-360593.8802999985,-153093.40629999846
2020-09-10 12:30:00,218378.7386999996,-360479.2384999997,-142100.4998000001
2020-09-10 12:35:00,224262.02939999962,-375448.81709999905,-151186.7876999995
2020-09-10 12:40:00,209770.15419999984,-444347.50059999974,-234577.34639999995
2020-09-10 12:45:00,209742.0896999997,-460270.2105000006,-250528.12080000085
2020-09-10 12:50:00,222539.05020000038,-455649.3373000001,-233110.2870999997
2020-09-10 12:55:00,239988.52530000018,-438818.4736,-198829.94829999976
2020-09-10 13:00:00,249097.30680000078,-436136.26349999843,-187038.95669999765
2020-09-10 13:05:00,266679.3325000003,-425520.12830000045,-158840.79580000017
2020-09-10 13:10:00,273055.41079999966,-425311.95349999954,-152256.54269999976
2020-09-10 13:15:00,266444.5974999997,-442055.2752000001,-175610.67770000035
2020-09-10 13:20:00,297615.66830000066,-411952.2918,-114336.62349999927
2020-09-10 13:25:00,283770.1157000005,-433826.0397000004,-150055.92399999982
2020-09-10 13:30:00,269956.6203000004,-469146.73779999925,-199190.1174999988
2020-09-10 13:35:00,285785.95779999986,-454132.06120000005,-168346.10340000025
2020-09-10 13:40:00,272135.0135000007,-485579.1449000005,-213444.13139999984
2020-09-10 13:45:00,268698.4516000002,-503532.4996000002,-234834.04799999995
2020-09-10 13:50:00,279766.5516,-500709.0046000001,-220942.45300000013
2020-09-10 13:55:00,269121.06290000037,-537160.852899999,-268039.78999999864
