entry_nope,exit_nope,stop_loss_nope,success_rate,total_trades,total_PNL,mean_of_returns,standard_deviation,average_hold_time,median_hold_time
-65,-45,-100,0.452554745,274,-5.63,-0.020547445,1.269120075,31.86131387,20
-65,-40,-100,0.442379182,269,1.701,0.00632342,1.319543692,34.46096654,20
-65,-35,-100,0.423076923,260,0.218,0.000838462,1.346444225,38.76923077,25
-65,-30,-100,0.403921569,255,3.342,0.013105882,1.426714068,42.50980392,25
-65,-25,-100,0.388,250,-2.065,-0.00826,1.422686838,47.08,25
-65,-20,-100,0.384615385,247,7.609,0.030805668,1.570975339,51.39676113,25
-65,-15,-100,0.37037037,243,0.735,0.003024691,1.63912047,57.18106996,30
-65,-10,-100,0.3625,240,-14.269,-0.059454167,1.621581502,60.70833333,30
-65,-5,-100,0.359832636,239,-11.7063,-0.048980335,1.643847168,63.05439331,30
-65,0,-100,0.347457627,236,-11.015,-0.046673729,1.688487937,66.44067797,30
-70,-60,-100,0.506756757,296,2.3687,0.008002365,1.016622985,20.52364865,15
-70,-55,-100,0.474820144,278,2.9497,0.010610432,1.090143168,24.11870504,15
-70,-50,-100,0.448669202,263,1.505,0.005722433,1.178098009,27.58555133,20
-70,-45,-100,0.422310757,251,-1.749,-0.006968127,1.24666372,31.39442231,20
-70,-40,-100,0.415322581,248,6.107,0.024625,1.302408936,33.97177419,20
-70,-35,-100,0.393305439,239,2.366,0.009899582,1.339674515,38.0334728,20
-70,-30,-100,0.372881356,236,4.611,0.019538136,1.408731998,40.65677966,25
-70,-25,-100,0.362068966,232,-2.129,-0.009176724,1.388139884,45.49568966,25
-70,-20,-100,0.360869565,230,2.794,0.012147826,1.453061777,49.13043478,25
-70,-15,-100,0.343612335,227,-7.49,-0.032995595,1.527867342,54.77973568,25
-70,-10,-100,0.342222222,225,-4.664,-0.020728889,1.556645906,57.62222222,25
-70,-5,-100,0.342222222,225,-2.1243,-0.009441333,1.576754196,59.35555556,25
-70,0,-100,0.328828829,222,-1.985,-0.008941441,1.625166957,62.90540541,25
-75,-65,-100,0.47810219,274,-13.1663,-0.04805219,0.96463837,17.68248175,10
-75,-60,-100,0.450980392,255,-5.5493,-0.021761961,1.027143517,21.1372549,15
